order,seasonal,mean_cv_MAE,std_cv_MAE
"(1, 0, 0)","(1, 1, 1, 7)",22371.0,356.0
"(1, 0, 1)","(1, 1, 1, 7)",22391.0,378.0
"(0, 0, 1)","(1, 1, 1, 7)",22392.0,374.0
"(0, 0, 0)","(1, 1, 1, 7)",22418.0,318.0
"(1, 1, 0)","(1, 0, 1, 7)",22484.0,1235.0
"(1, 0, 0)","(1, 0, 1, 7)",22777.0,864.0
"(1, 0, 1)","(1, 0, 1, 7)",22788.0,843.0
"(0, 0, 1)","(1, 0, 1, 7)",22792.0,853.0
"(0, 0, 0)","(1, 0, 1, 7)",22805.0,800.0
"(1, 0, 0)","(0, 1, 1, 7)",23202.0,133.0
"(0, 1, 1)","(0, 1, 1, 7)",23211.0,727.0
"(0, 0, 1)","(0, 1, 1, 7)",23217.0,163.0
"(1, 1, 1)","(0, 1, 1, 7)",23229.0,729.0
"(1, 0, 1)","(0, 1, 1, 7)",23231.0,176.0
"(0, 0, 0)","(0, 1, 1, 7)",23297.0,204.0
"(0, 1, 1)","(1, 1, 1, 7)",23300.0,326.0
"(1, 1, 1)","(1, 1, 1, 7)",23301.0,292.0
"(1, 1, 1)","(1, 0, 1, 7)",23541.0,84.0
"(0, 1, 1)","(1, 0, 1, 7)",23662.0,232.0
"(1, 1, 0)","(0, 1, 1, 7)",23682.0,1127.0
"(1, 0, 1)","(0, 0, 0, 7)",24034.0,1627.0
"(1, 0, 1)","(0, 0, 1, 7)",24180.0,1496.0
"(1, 0, 1)","(1, 0, 0, 7)",24204.0,1461.0
"(0, 0, 0)","(1, 1, 0, 7)",24778.0,1026.0
"(0, 0, 1)","(1, 1, 0, 7)",24803.0,1097.0
"(1, 1, 1)","(1, 1, 0, 7)",24816.0,699.0
"(1, 0, 0)","(1, 1, 0, 7)",24821.0,1131.0
"(0, 1, 1)","(1, 1, 0, 7)",24821.0,651.0
"(1, 1, 1)","(0, 0, 0, 7)",24826.0,1277.0
"(1, 1, 1)","(1, 0, 0, 7)",24832.0,1314.0
"(0, 1, 1)","(1, 0, 0, 7)",24864.0,1300.0
"(0, 1, 0)","(0, 1, 1, 7)",24876.0,1454.0
"(1, 1, 1)","(0, 0, 1, 7)",24885.0,1287.0
"(0, 1, 1)","(0, 0, 0, 7)",24944.0,1173.0
"(1, 0, 1)","(1, 1, 0, 7)",24945.0,952.0
"(0, 1, 1)","(0, 0, 1, 7)",25034.0,1162.0
"(0, 1, 0)","(1, 1, 1, 7)",25303.0,474.0
"(1, 1, 0)","(0, 0, 0, 7)",26021.0,221.0
"(1, 1, 0)","(0, 0, 1, 7)",26889.0,836.0
"(1, 1, 0)","(1, 0, 0, 7)",27070.0,911.0
"(0, 1, 1)","(0, 1, 0, 7)",27468.0,1860.0
"(1, 0, 1)","(0, 1, 0, 7)",27547.0,1491.0
"(1, 1, 1)","(0, 1, 0, 7)",27665.0,1914.0
"(0, 0, 0)","(0, 1, 0, 7)",27876.0,1775.0
"(1, 0, 0)","(0, 1, 0, 7)",27963.0,1926.0
"(0, 0, 1)","(0, 1, 0, 7)",27992.0,1932.0
"(1, 1, 0)","(1, 1, 1, 7)",29092.0,4187.0
"(0, 1, 0)","(1, 0, 1, 7)",32667.0,3774.0
"(0, 1, 0)","(0, 0, 0, 7)",34271.0,1989.0
"(1, 0, 0)","(1, 0, 0, 7)",35134.0,959.0
"(0, 1, 0)","(0, 0, 1, 7)",35271.0,646.0
"(0, 0, 1)","(1, 0, 0, 7)",35319.0,377.0
"(1, 0, 0)","(0, 0, 1, 7)",35640.0,1148.0
"(0, 0, 0)","(1, 0, 0, 7)",35670.0,110.0
"(0, 1, 0)","(1, 0, 0, 7)",35675.0,477.0
"(0, 0, 0)","(0, 0, 1, 7)",35705.0,1179.0
"(0, 0, 1)","(0, 0, 1, 7)",35712.0,1123.0
"(1, 0, 0)","(0, 0, 0, 7)",35821.0,1131.0
"(0, 0, 1)","(0, 0, 0, 7)",36136.0,1001.0
"(0, 0, 0)","(0, 0, 0, 7)",36306.0,993.0
"(1, 1, 0)","(1, 1, 0, 7)",63178.0,24733.0
"(0, 1, 0)","(1, 1, 0, 7)",151930.0,112042.0
"(1, 1, 0)","(0, 1, 0, 7)",223344.0,183681.0
"(0, 1, 0)","(0, 1, 0, 7)",448032.0,407938.0
