order,seasonal,mean_cv_MAE,std_cv_MAE
"(1, 0, 1)","(1, 1, 1, 7)",34450.0,4717.0
"(1, 0, 1)","(0, 1, 1, 7)",35049.0,4789.0
"(1, 0, 0)","(1, 1, 1, 7)",35127.0,3482.0
"(0, 0, 1)","(1, 1, 1, 7)",35327.0,3389.0
"(0, 0, 0)","(1, 1, 1, 7)",35417.0,3028.0
"(1, 0, 0)","(0, 1, 1, 7)",35562.0,3408.0
"(0, 0, 1)","(0, 1, 1, 7)",35724.0,3308.0
"(0, 0, 0)","(0, 1, 1, 7)",35823.0,3008.0
"(1, 0, 0)","(1, 0, 1, 7)",42646.0,5419.0
"(0, 0, 0)","(1, 0, 1, 7)",42687.0,6307.0
"(1, 0, 1)","(1, 1, 0, 7)",51497.0,2245.0
"(0, 0, 0)","(1, 1, 0, 7)",51931.0,3126.0
"(0, 0, 1)","(1, 1, 0, 7)",51974.0,3094.0
"(1, 0, 0)","(1, 1, 0, 7)",52052.0,2732.0
"(1, 0, 1)","(0, 1, 0, 7)",56269.0,10424.0
"(0, 0, 1)","(0, 1, 0, 7)",56598.0,10767.0
"(0, 0, 0)","(0, 1, 0, 7)",56620.0,10746.0
"(1, 0, 0)","(0, 1, 0, 7)",56768.0,10767.0
"(1, 1, 1)","(0, 1, 1, 7)",62674.0,1165.0
"(1, 0, 1)","(1, 0, 0, 7)",62933.0,5830.0
"(1, 1, 1)","(1, 1, 1, 7)",63374.0,2447.0
"(0, 1, 1)","(0, 1, 0, 7)",65937.0,5735.0
"(0, 1, 0)","(1, 1, 1, 7)",68042.0,34814.0
"(0, 1, 1)","(0, 1, 1, 7)",73377.0,7834.0
"(0, 1, 1)","(1, 1, 1, 7)",75008.0,10225.0
"(1, 0, 0)","(1, 0, 0, 7)",75112.0,3807.0
"(0, 1, 0)","(0, 1, 1, 7)",78723.0,42823.0
"(0, 0, 0)","(1, 0, 0, 7)",81449.0,11040.0
"(0, 0, 1)","(1, 0, 0, 7)",82321.0,10834.0
"(1, 1, 0)","(0, 1, 1, 7)",87108.0,55772.0
"(1, 1, 0)","(1, 1, 1, 7)",89799.0,58017.0
"(0, 0, 1)","(1, 0, 1, 7)",90561.0,39399.0
"(1, 1, 0)","(1, 0, 1, 7)",94079.0,37175.0
"(1, 1, 1)","(1, 0, 1, 7)",97811.0,48852.0
"(0, 1, 1)","(1, 0, 0, 7)",98894.0,493.0
"(1, 0, 1)","(1, 0, 1, 7)",101525.0,39133.0
"(0, 1, 1)","(1, 1, 0, 7)",113051.0,42674.0
"(0, 1, 0)","(1, 0, 1, 7)",128285.0,18281.0
"(1, 1, 1)","(1, 1, 0, 7)",135165.0,16850.0
"(0, 1, 1)","(1, 0, 1, 7)",138258.0,85699.0
"(0, 1, 1)","(0, 0, 1, 7)",148560.0,1262.0
"(1, 1, 1)","(0, 0, 1, 7)",148792.0,2391.0
"(1, 0, 1)","(0, 0, 1, 7)",154197.0,9594.0
"(1, 1, 0)","(0, 0, 1, 7)",186771.0,42632.0
"(0, 1, 0)","(0, 0, 1, 7)",195119.0,50238.0
"(0, 1, 0)","(0, 1, 0, 7)",202837.0,168995.0
"(1, 1, 1)","(1, 0, 0, 7)",220590.0,69296.0
"(1, 1, 0)","(1, 0, 0, 7)",221954.0,136207.0
"(0, 1, 0)","(1, 1, 0, 7)",246259.0,112994.0
"(1, 1, 0)","(1, 1, 0, 7)",262285.0,84342.0
"(0, 1, 0)","(1, 0, 0, 7)",266783.0,94062.0
"(1, 1, 1)","(0, 0, 0, 7)",272977.0,35095.0
"(1, 1, 0)","(0, 1, 0, 7)",277484.0,83748.0
"(1, 1, 1)","(0, 1, 0, 7)",297922.0,37754.0
"(0, 1, 0)","(0, 0, 0, 7)",305856.0,28461.0
"(0, 1, 1)","(0, 0, 0, 7)",313077.0,37036.0
"(1, 1, 0)","(0, 0, 0, 7)",318490.0,21210.0
"(0, 0, 1)","(0, 0, 0, 7)",351691.0,10743.0
"(0, 0, 0)","(0, 0, 0, 7)",352356.0,11646.0
"(1, 0, 0)","(0, 0, 0, 7)",370525.0,7240.0
"(1, 0, 0)","(0, 0, 1, 7)",375788.0,402.0
"(0, 0, 1)","(0, 0, 1, 7)",378139.0,2897.0
"(0, 0, 0)","(0, 0, 1, 7)",381715.0,4058.0
"(1, 0, 1)","(0, 0, 0, 7)",382725.0,1860.0
