rapportagedatum,totale_omzet,lag_1d,lag_7d,lag_14d,lag_28d,rolling_mean_7d,rolling_mean_28d,weekday,month,week,year,quarter,day_of_year,weekday_sin,weekday_cos,month_sin,month_cos,week_sin,week_cos,is_weekend,is_monday,is_friday,is_voorjaarvakantie,is_meivakantie,is_zomervakantie,is_herfstvakantie,is_kerstvakantie,is_schoolvakantie,is_feestdag,is_dag_na_feestdag,cumulative_revenue_ytd,contractual_consumption_rate,time_index
2023-01-01,123840.05,120663.95,119434.29,124403.77,126520.17,246531.67142857143,346961.84821428574,6,1,52,2023,1,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,6.432490598706546e-16,1.0,1,0,0,0,0,0,0,1,1,1,0,123840.05,0.0008587398384363998,365
2023-01-02,355038.84,123840.05,119560.32,485154.67,499470.23,247161.0657142857,346866.1296428572,0,1,1,2023,1,2,0.0,1.0,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,1,0,0,0,0,0,1,1,0,1,478878.89,0.0033206735674703174,366
2023-01-03,460709.02,355038.84,334129.67,543012.31,565452.43,280800.8542857143,341707.8657142857,1,1,1,2023,1,3,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,0,0,0,0,0,1,1,0,0,939587.91,0.0065153524246008825,367
2023-01-04,398899.48,460709.02,348619.04,435581.58,475473.11,298883.6185714286,337967.02964285715,2,1,1,2023,1,4,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,0,0,0,0,0,1,1,0,0,1338487.3900000001,0.00928142749488359,368
2023-01-05,495006.8,398899.48,381507.58,486061.47,521026.63,306066.53857142857,335232.2571428572,3,1,1,2023,1,5,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,0,0,0,0,0,1,1,0,0,1833494.19,0.012713936279052518,369
2023-01-06,386042.97,495006.8,301806.85,379923.9,391688.73,322280.7128571429,334302.9775,4,1,1,2023,1,6,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,0,0,1,0,0,0,0,1,1,0,0,2219537.16,0.01539086089017233,370
2023-01-07,127617.49,386042.97,120663.95,119096.34,123451.2,334314.44428571424,334101.3432142857,5,1,1,2023,1,7,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,1,0,0,0,0,0,0,1,1,0,0,2347154.65,0.016275794502071377,371
2023-01-08,128694.47,127617.49,123840.05,119434.29,124758.83,335307.8071428572,334250.1392857143,6,1,1,2023,1,8,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,1,0,0,0,0,0,0,1,1,0,0,2475849.12,0.017168196179682606,372
2023-01-09,505305.16,128694.47,355038.84,119560.32,526387.88,336001.2957142857,334390.69785714283,0,1,2,2023,1,9,0.0,1.0,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,1,0,0,0,0,0,0,0,0,0,2981154.28,0.020672116530647246,373
2023-01-10,566135.63,505305.16,460709.02,334129.67,576977.71,357467.91285714286,333637.7435714285,1,1,2,2023,1,10,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0,0,3547289.91,0.024597851536723954,374
2023-01-11,455763.18,566135.63,398899.48,348619.04,477213.61,372528.85714285716,333250.52642857144,2,1,2,2023,1,11,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0,0,4003053.09,0.027758234624089145,375
2023-01-12,540395.17,455763.18,495006.8,381507.58,496926.78,380652.2428571429,332484.4396428572,3,1,2,2023,1,12,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,0,0,0,0,0,0,0,0,0,4543448.26,0.03150547843558317,376
2023-01-13,424978.57,540395.17,386042.97,301806.85,391282.35,387136.2957142857,334036.8821428571,4,1,2,2023,1,13,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,0,0,1,0,0,0,0,0,0,0,0,4968426.83,0.034452392850917564,377
